Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Equal Angles,SA12508,Mild Steel Equal Angle 125x125x8mm,125,8,,,,,14.90,9.0,300,AS/NZS 3679.1-300
Equal Angles,SA12510,Mild Steel Equal Angle 125x125x10mm,125,10,,,,,18.00,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA15010,Mild Steel Equal Angle 150x150x10mm,150,10,,,,,21.90,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA15012,Mild Steel Equal Angle 150x150x12mm,150,12,,,,,27.30,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA15016,Mild Steel Equal Angle 150x150x16mm,150,16,,,,,35.40,12.0,300,AS/NZS 3679.1-300
Equal Angles,SA20013,Mild Steel Equal Angle 200x200x13mm,200,13,,,,,40.00,"9.0,12.0",300,AS/NZS 3679.1-300
Equal Angles,SA20016,Mild Steel Equal Angle 200x200x16mm,200,16,,,,,48.70,"9.0,12.0",300,AS/NZS 3679.1-300
Rounds,SR06,Mild Steel Round 6mm,,,6,,,0.22,6.0,300,AS/NZS 3679.1-300
Rounds,SR08,Mild Steel Round 8mm,,,8,,,0.40,6.0,300,AS/NZS 3679.1-300
Rounds,SR10,Mild Steel Round 10mm,,,10,,,0.62,6.0,300,AS/NZS 3679.1-300
Rounds,SR12,Mild Steel Round 12mm,,,12,,,0.89,6.0,300,AS/NZS 3679.1-300
Rounds,SR16,Mild Steel Round 16mm,,,16,,,1.58,"6.0,9.0",300,AS/NZS 3679.1-300
Rounds,SR20,Mild Steel Round 20mm,,,20,,,2.47,"6.0,9.0",300,AS/NZS 3679.1-300
Rounds,SR24,Mild Steel Round 24mm,,,24,,,3.55,6.0,300,AS/NZS 3679.1-300
Rounds,SR28,Mild Steel Round 28mm,,,28,,,4.83,6.0,300,AS/NZS 3679.1-300
Rounds,SR32,Mild Steel Round 32mm,,,32,,,6.31,6.0,300,AS/NZS 3679.1-300
Rounds,SR40,Mild Steel Round 40mm,,,40,,,9.86,6.0,300,AS/NZS 3679.1-300
Rounds,SR50,Mild Steel Round 50mm,,,50,,,15.41,6.0,300,AS/NZS 3679.1-300
Squares,SQ06,Mild Steel Square 6mm,6,,,,,,0.28,6.0,300,AS/NZS 3679.1-300
Squares,SQ08,Mild Steel Square 8mm,8,,,,,,0.50,6.0,300,AS/NZS 3679.1-300
Squares,SQ10,Mild Steel Square 10mm,10,,,,,,0.79,6.0,300,AS/NZS 3679.1-300
Squares,SQ12,Mild Steel Square 12mm,12,,,,,,1.13,6.0,300,AS/NZS 3679.1-300
Squares,SQ16,Mild Steel Square 16mm,16,,,,,,2.01,6.0,300,AS/NZS 3679.1-300
Squares,SQ19,Mild Steel Square 19mm,19,,,,,,2.98,6.0,300,AS/NZS 3679.1-300
Squares,SQ20,Mild Steel Square 20mm,20,,,,,,3.14,6.0,300,AS/NZS 3679.1-300
Squares,SQ25,Mild Steel Square 25mm,25,,,,,,4.91,6.0,300,AS/NZS 3679.1-300
Squares,SQ32,Mild Steel Square 32mm,32,,,,,,8.04,6.0,300,AS/NZS 3679.1-300
Squares,SQ38,Mild Steel Square 38mm,38,,,,,,11.34,6.0,300,AS/NZS 3679.1-300
