"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Equal Angles","SA06505","Mild Steel Equal Angle 65x65x5mm","65.00","","","5.00","","","","","","4.560","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.25","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA07506","Mild Steel Equal Angle 75x75x6mm","75.00","","","6.00","","","","","","6.810","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.29","ASMUSS","","","","","","","","","","true"
"RHS","RHS05002525","Rectangular Hollow Section 50x25x2.5mm","50.00","","","2.50","","25.00","","","","2.620","8.0;12.0","C350LO","AS/NZS 1163","","","","0.28","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC310158","Universal Column 327x311x158mm","327.00","","","158.00","","311.00","25.00","15.70","","158.000","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.80","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC100015","Universal Column 97x99x15mm","97.00","","","15.00","","99.00","7.00","5.00","","14.800","6.0;9.0;12.0;15.0","G300SO","AS3679.1","","","","0.55","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB250031","Universal Beam 252x146x31mm","252.00","","","31.00","","146.00","8.60","6.10","","31.400","6.0;9.0;10.5;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.25","ASMUSS","","","","","","","","","","true"
"SHS","SHS02525","Square Hollow Section 25x25x2.5mm","1200.00","","","25.00","","25.00","","","2400.00","1.640","8.0;12.0","C350LO","AS/NZS 1163","","","","0.18","ASMUSS","","","","","","","","","","true"
"SHS","SHS03525","Square Hollow Section 35x35x2.5mm","1200.00","","","35.00","","35.00","","","2400.00","2.420","8.0;12.0","C350LO","AS/NZS 1163","","","","0.26","ASMUSS","","","","","","","","","","true"
"SHS","SHS04030","Square Hollow Section 40x40x3mm","1200.00","","","40.00","","40.00","","","2400.00","3.300","8.0;12.0","C350LO","AS/NZS 1163","","","","0.30","ASMUSS","","","","","","","","","","true"
"SHS","SHS04040","Square Hollow Section 40x40x4mm","1200.00","","","40.00","","40.00","","","2400.00","4.090","8.0;12.0","C350LO","AS/NZS 1163","","","","0.29","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM225","Reinforcing Mesh 50x50x5.3mm","50.00","","","5.30","","","","","","6.930","2.4x1.2","D500","NZS 3422:1975","","","","0.67","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB310032","Universal Beam 298x149x32mm","298.00","","","32.00","","149.00","8.00","5.50","","32.000","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.45","ASMUSS","","","","","","","","","","true"
"Reid Bar","SRRB25","Reid Bar 25mm","","","","","25.00","","","","","3.850","6.0;9.0;12.0","500E","AS/NZS 4671","","","","0.08","ASMUSS","","","","","","","","","","true"
"RHS","RHS10005025","Rectangular Hollow Section 100x50x2.5mm","100.00","","","2.50","","50.00","","","","5.560","8.0;12.0","C350LO","AS/NZS 1163","","","","0.58","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA07505","Mild Steel Equal Angle 75x75x5mm","75.00","","","5.00","","","","","","5.270","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.29","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA10006","Mild Steel Equal Angle 100x100x6mm","100.00","","","6.00","","","","","","9.160","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.39","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA12507506","Mild Steel Unequal Angle 125x75x6mm","125.00","125.00","75.00","6.00","","","","","","9.160","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.39","ASMUSS","","","","","","","","","","true"
"Squares","SQ10","Mild Steel Square 10mm","10.00","","","10.00","","10.00","","","","0.790","6","300","AS/NZS 3679.1-300","","","","0.04","ASMUSS","","","","","","","","","","true"
"Squares","SQ20","Mild Steel Square 20mm","20.00","","","20.00","","20.00","","","","3.140","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"Squares","SQ75","Mild Steel Square 75mm","75.00","","","75.00","","75.00","","","","44.180","6","300","AS/NZS 3679.1-300","","","","0.30","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC200075","Mild Steel Channel 200x75x12mm","200.00","","","12.00","","75.00","12.00","6.00","","22.900","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","0.91","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC250090","Mild Steel Channel 250x90x15mm","250.00","","","15.00","","90.00","15.00","8.00","","35.500","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","1.13","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC380100","Mild Steel Channel 380x100x17.5mm","380.00","","","17.50","","100.00","17.50","10.00","","55.200","6.0;9.0;12.0;16.5;18.0","G300","AS3679.1","","","","1.67","ASMUSS","","","","","","","","","","true"
"Cold Formed Channels","SC102051CF","Cold Formed Channel 102x51x3mm","102.00","","","3.00","","51.00","3.00","3.00","","5.280","6","HA-250","AS1594","","","","0.50","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC100050","Mild Steel Channel 100x50x6.7mm","100.00","","","6.70","","50.00","6.70","4.20","","8.330","6.0;9.0;12.0","G300","AS3679.1","","","","0.48","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB250037","Universal Beam 256x146x37mm","256.00","","","37.00","","146.00","10.90","6.40","","37.300","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.26","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB310040","Universal Beam 304x165x40mm","304.00","","","40.00","","165.00","10.20","6.10","","40.400","6.0;9.0;10.5;12.0;13.5;15.0;16.5;18.0","G300SO","AS3679.1","","","","1.49","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB360045","Universal Beam 352x171x45mm","352.00","","","45.00","","171.00","9.70","6.90","","44.700","6.0;9.0;10.5;12.0;13.5;15.0;16.5;18.0","G300SO","AS3679.1","","","","1.70","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB360057","Universal Beam 359x172x57mm","359.00","","","57.00","","172.00","13.00","8.00","","56.700","6.0;9.0;10.5;12.0;15.0;18.0","G300SO","AS3679.1","","","","1.71","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB410060","Universal Beam 406x178x60mm","406.00","","","60.00","","178.00","12.80","7.80","","59.700","6.0;9.0;10.5;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.91","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB460074","Universal Beam 457x190x74mm","457.00","","","74.00","","190.00","14.50","9.10","","74.600","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","2.13","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB530082","Universal Beam 528x209x82mm","528.00","","","82.00","","209.00","13.20","9.60","","82.000","6.0;9.0;12.0;15.0;16.5;18.0","G300SO","AS3679.1","","","","2.46","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB610101","Universal Beam 602x228x101mm","602.00","","","101.00","","228.00","14.80","10.60","","101.000","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","2.78","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB610125","Universal Beam 612x229x125mm","612.00","","","125.00","","229.00","19.60","11.90","","125.000","9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","2.80","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB360051","Universal Beam 356x171x51mm","356.00","","","51.00","","171.00","11.50","7.30","","50.700","6.0;9.0;10.5;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.71","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB410054","Universal Beam 403x178x54mm","403.00","","","54.00","","178.00","10.90","7.60","","53.700","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300SO","AS3679.1","","","","1.91","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB460067","Universal Beam 454x190x67mm","454.00","","","67.00","","190.00","12.70","8.50","","67.100","6.0;9.0;12.0;13.5;15.0;16.5;18.0","G300SO","AS3679.1","","","","2.13","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB460082","Universal Beam 460x191x82mm","460.00","","","82.00","","191.00","16.00","9.90","","82.100","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","2.14","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB530092","Universal Beam 533x209x92mm","533.00","","","92.00","","209.00","15.60","10.20","","92.400","6.0;9.0;12.0;15.0;18.0","G300SO","AS3679.1","","","","2.47","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB610113","Universal Beam 607x228x113mm","607.00","","","113.00","","228.00","17.30","11.20","","113.000","9.0;12.0;15.0;16.5;18.0","G300SO","AS3679.1","","","","2.79","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA07510","Mild Steel Equal Angle 75x75x10mm","75.00","","","10.00","","","","","","10.500","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.28","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA09008","Mild Steel Equal Angle 90x90x8mm","90.00","","","8.00","","","","","","10.600","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.34","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA12508","Mild Steel Equal Angle 125x125x8mm","125.00","","","8.00","","","","","","14.900","9","300","AS/NZS 3679.1-300","","","","0.48","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA06506","Mild Steel Equal Angle 65x65x6mm","65.00","","","6.00","","","","","","5.870","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.25","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA10010","Mild Steel Equal Angle 100x100x10mm","100.00","","","10.00","","","","","","14.200","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA12510","Mild Steel Equal Angle 125x125x10mm","125.00","","","10.00","","","","","","18.000","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.48","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA15010","Mild Steel Equal Angle 150x150x10mm","150.00","","","10.00","","","","","","21.900","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.58","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA15012","Mild Steel Equal Angle 150x150x12mm","150.00","","","12.00","","","","","","27.300","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.58","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA15016","Mild Steel Equal Angle 150x150x16mm","150.00","","","16.00","","","","","","35.400","12","300","AS/NZS 3679.1-300","","","","0.57","ASMUSS","","","","","","","","","","true"
