"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Black Pipe","PBLPE032","Black Pipe Light 32mm","","","","2.60","42.40","","","2.60","","2.550","6.5","C350","AS1163","","","","0.25","","","","","","","","","","","true"
"Black Pipe","PBLPE040","Black Pipe Light 40mm","","","","2.90","48.30","","","2.90","","3.250","6.5","C350","AS1163","","","","0.29","","","","","","","","","","","true"
"Black Pipe","PBLPE050","Black Pipe Light 50mm","","","","2.90","60.30","","","2.90","","4.110","6.5","C350","AS1163","","","","0.36","","","","","","","","","","","true"
"Black Pipe","PBMPE015","Black Pipe Medium 15mm","","","","2.60","21.30","","","2.60","","1.210","6.5","C250","AS1074","","","","0.12","","","","","","","","","","","true"
"Black Pipe","PBMPE020","Black Pipe Medium 20mm","","","","2.60","26.90","","","2.60","","1.560","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Black Pipe","PBMPE032","Black Pipe Medium 32mm","","","","3.20","42.40","","","3.20","","3.100","6.5","C250","AS1074","","","","0.25","","","","","","","","","","","true"
"Black Pipe","PBMPE065","Black Pipe Medium 65mm","","","","3.60","76.10","","","3.60","","6.430","6.5","C250","AS1074","","","","0.46","","","","","","","","","","","true"
"Black Pipe","PBMPE090","Black Pipe Medium 90mm","","","","4.00","101.60","","","4.00","","9.630","6.5","C250","AS1074","","","","0.61","","","","","","","","","","","true"
"Black Pipe","PBMPE150","Black Pipe Medium 150mm","","","","5.00","165.10","","","5.00","","19.700","6.5","C250","AS1074","","","","1.01","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE040","Galvanized Pipe Heavy 40mm","","","","4.00","48.30","","","4.00","","4.460","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE065","Galvanized Pipe Light 65mm","","","","3.20","76.10","","","3.20","","5.890","6.5","C250","AS1163","","","","0.46","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE015","Galvanized Pipe Medium 15mm","","","","2.60","21.30","","","2.60","","1.240","6.5","C250","AS1074","","","","0.12","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS100","Galvanized Pipe Screwed 100mm","","","","4.50","114.30","","","4.50","","12.400","6.5","C250","AS1074","","","","0.69","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS125","Galvanized Pipe Screwed 125mm","","","","5.00","139.70","","","5.00","","16.900","6.5","C250","AS1074","","","","0.85","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE032","Galvanized Pipe Extra Light 32mm","","","","2.00","42.20","","","2.00","","2.070","6.5","C250","AS1163","","","","0.25","","","","","","","","","","","true"
"Primed Pipe","PPMPE020","Primed Pipe Medium 20mm","","","","2.60","26.90","","","2.60","","1.560","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Primed Pipe","PPMPE065","Primed Pipe Medium 65mm","","","","3.60","76.10","","","3.60","","6.430","6.5","C250","AS1074","","","","0.46","","","","","","","","","","","true"
"Primed Pipe","PPMPE125","Primed Pipe Medium 125mm","","","","5.00","139.70","","","5.00","","16.600","6.5","C250","AS1074","","","","0.85","","","","","","","","","","","true"
"Primed Pipe","PPMPE150","Primed Pipe Medium 150mm","","","","5.00","165.10","","","5.00","","19.700","6.5","C250","AS1074","","","","1.01","","","","","","","","","","","true"
"Duragal Flats","DGFL2512","Duragal Flat 25x12mm","25.00","","","12.00","","","","","","2.360","6.0;9.0","350","AS/NZS 4792","","","","0.07","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL3212","Duragal Flat 32x12mm","32.00","","","12.00","","","","","","3.020","6.0;9.0","350","AS/NZS 4792","","","","0.09","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL2520","Duragal Flat 25x20mm","25.00","","","20.00","","","","","","3.930","6.0;9.0","350","AS/NZS 4792","","","","0.09","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL3220","Duragal Flat 32x20mm","32.00","","","20.00","","","","","","5.020","6.0;9.0","350","AS/NZS 4792","","","","0.10","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL4012","Duragal Flat 40x12mm","40.00","","","12.00","","","","","","3.770","6.0;9.0","350","AS/NZS 4792","","","","0.10","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL4020","Duragal Flat 40x20mm","40.00","","","20.00","","","","","","6.280","6.0;9.0","350","AS/NZS 4792","","","","0.12","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL5012","Duragal Flat 50x12mm","50.00","","","12.00","","","","","","4.710","6.0;9.0","350","AS/NZS 4792","","","","0.12","ASMUSS","","","","","","","","","","true"
"Duragal Flats","DGFL5020","Duragal Flat 50x20mm","50.00","","","20.00","","","","","","7.850","6.0;9.0","350","AS/NZS 4792","","","","0.14","ASMUSS","","","","","","","","","","true"
"Seamless Line Pipe","LPS020160","Seamless Line Pipe 20x160","","","","5.56","26.70","","","5.56","","2.890","6","B","API 5L/ASTM A53/A106","","","","0.13","","","","","","","","","","","true"
"Seamless Line Pipe","LPS025080","Seamless Line Pipe 25x80 XS","","","","4.55","33.40","","","4.55","","3.240","6","B","API 5L/ASTM A53/A106","","","","0.18","","","","","","","","","","","true"
"Seamless Line Pipe","LPS025160","Seamless Line Pipe 25x160","","","","6.35","33.40","","","6.35","","4.230","6","B","API 5L/ASTM A53/A106","","","","0.17","","","","","","","","","","","true"
"Seamless Line Pipe","LPS032080","Seamless Line Pipe 32x80 XS","","","","4.85","42.20","","","4.85","","4.470","6","B","API 5L/ASTM A53/A106","","","","0.23","","","","","","","","","","","true"
"Seamless Line Pipe","LPS040160","Seamless Line Pipe 40x160","","","","7.13","48.30","","","7.13","","7.230","6","B","API 5L/ASTM A53/A106","","","","0.26","","","","","","","","","","","true"
"Seamless Line Pipe","LPS050080","Seamless Line Pipe 50x80 XS","","","","5.54","60.30","","","5.54","","7.480","6","B","API 5L/ASTM A53/A106","","","","0.34","","","","","","","","","","","true"
"Seamless Line Pipe","LPS065080","Seamless Line Pipe 65x80 XS","","","","7.01","73.00","","","7.01","","11.410","6","B","API 5L/ASTM A53/A106","","","","0.41","","","","","","","","","","","true"
"Seamless Line Pipe","LPS065160","Seamless Line Pipe 65x160","","","","9.52","73.00","","","9.52","","14.900","6","B","API 5L/ASTM A53/A106","","","","0.40","","","","","","","","","","","true"
"Seamless Line Pipe","LPS080XXS","Seamless Line Pipe 80xXXS","","","","15.24","88.90","","","15.24","","27.700","6","B","API 5L/ASTM A53/A106","","","","0.46","","","","","","","","","","","true"
"Seamless Line Pipe","LPS100040","Seamless Line Pipe 100x40 STD","","","","6.02","114.30","","","6.02","","16.070","6","B","API 5L/ASTM A53/A106","","","","0.68","","","","","","","","","","","true"
"Seamless Line Pipe","LPS100080","Seamless Line Pipe 100x80 XS","","","","8.56","114.30","","","8.56","","22.320","6","B","API 5L/ASTM A53/A106","","","","0.66","","","","","","","","","","","true"
"Seamless Line Pipe","LPS150040","Seamless Line Pipe 150x40 STD","","","","7.11","168.30","","","7.11","","28.260","6","B","API 5L/ASTM A53/A106","","","","1.01","","","","","","","","","","","true"
"Seamless Line Pipe","LPS200080","Seamless Line Pipe 200x80 XS","","","","12.70","219.10","","","12.70","","64.400","6","B","API 5L/ASTM A53/A106","","","","1.30","","","","","","","","","","","true"
"ERW Line Pipe","LPW20020","ERW Line Pipe 200x20","","","","6.35","219.10","","","6.35","","33.310","6.0;12.0","B","ASTM API 5L","","","","1.34","","","","","","","","","","","true"
"ERW Line Pipe","LPW200XS","ERW Line Pipe 200x80 XS","","","","12.70","219.10","","","12.70","","64.640","6.0;12.0","B","ASTM API 5L","","","","1.30","","","","","","","","","","","true"
"ERW Line Pipe","LPW25040","ERW Line Pipe 250x40 STD","","","","9.27","273.10","","","9.27","","60.300","6.0;12.0","B","ASTM API 5L","","","","1.66","","","","","","","","","","","true"
"ERW Line Pipe","LPW30040","ERW Line Pipe 300x40","","","","10.31","323.90","","","10.31","","79.720","6.0;12.0","B","ASTM API 5L","","","","1.97","","","","","","","","","","","true"
"ERW Line Pipe","LPW300STD","ERW Line Pipe 300xSTD","","","","9.53","323.90","","","9.53","","73.790","6.0;12.0","B","ASTM API 5L","","","","1.98","","","","","","","","","","","true"
"ERW Line Pipe","LPW35010","ERW Line Pipe 350x10","","","","6.35","355.60","","","6.35","","54.690","6","B","ASTM API 5L","","","","2.19","","","","","","","","","","","true"
"ERW Line Pipe","LPW350STD","ERW Line Pipe 350xSTD","","","","9.53","355.60","","","9.53","","81.250","6.0;12.0","B","ASTM API 5L","","","","2.17","","","","","","","","","","","true"
"ERW Line Pipe","LPW400STD","ERW Line Pipe 400xSTD","","","","9.53","406.40","","","9.53","","93.170","6.0;12.0","B","ASTM API 5L","","","","2.49","","","","","","","","","","","true"
"ERW Line Pipe","LPW400XS","ERW Line Pipe 400x40 XS","","","","12.70","406.40","","","12.70","","123.300","12","B","ASTM API 5L","","","","2.47","","","","","","","","","","","true"
"ERW Line Pipe","LPW450XS","ERW Line Pipe 450xXS","","","","12.70","457.20","","","12.70","","139.200","12","B","ASTM API 5L","","","","2.79","","","","","","","","","","","true"
"ERW Line Pipe","LPW500XS","ERW Line Pipe 500xXS","","","","12.70","508.00","","","12.70","","155.120","12","B","ASTM API 5L","","","","3.11","","","","","","","","","","","true"
"Black Pipe","PBHPE025","Black Pipe Heavy 25mm","","","","4.00","33.70","","","4.00","","2.940","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"Black Pipe","PBHPE040","Black Pipe Heavy 40mm","","","","4.00","48.30","","","4.00","","4.380","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Black Pipe","PBHPE125","Black Pipe Heavy 125mm","","","","5.40","139.70","","","5.40","","17.900","6.5","C250","AS1074","","","","0.84","","","","","","","","","","","true"
"Black Pipe","PBMPE040","Black Pipe Medium 40mm","","","","3.20","48.30","","","3.20","","3.570","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Black Pipe","PBMPE050","Black Pipe Medium 50mm","","","","3.60","60.30","","","3.60","","5.030","6.5","C250","AS1074","","","","0.36","","","","","","","","","","","true"
"Black Pipe","PBMPE080","Black Pipe Medium 80mm","","","","4.00","88.90","","","4.00","","8.370","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Black Pipe","PBMPE125","Black Pipe Medium 125mm","","","","5.00","139.70","","","5.00","","16.600","6.5","C250","AS1074","","","","0.85","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE032","Galvanized Pipe Heavy 32mm","","","","4.00","42.40","","","4.00","","3.870","6.5","C250","AS1074","","","","0.24","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE050","Galvanized Pipe Heavy 50mm","","","","4.50","60.30","","","4.50","","6.300","6.5","C250","AS1074","","","","0.35","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE125","Galvanized Pipe Heavy 125mm","","","","5.40","139.70","","","5.40","","18.100","6.5","C250","AS1074","","","","0.84","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE040","Galvanized Pipe Light 40mm","","","","2.90","48.30","","","2.90","","3.330","6.5","C250","AS1163","","","","0.29","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE050","Galvanized Pipe Light 50mm","","","","2.90","60.30","","","2.90","","4.210","6.5","C250","AS1163","","","","0.36","","","","","","","","","","","true"
"Galvanized Pipe","PGLSW032","Galvanized Pipe Swaged 32mm","","","","2.60","42.20","","","2.60","","2.630","6.5","C250","AS1163","","","","0.25","","","","","","","","","","","true"
"Galvanized Pipe","PGLSW025","Galvanized Pipe Swaged 25mm","","","","2.60","33.70","","","2.60","","2.050","6.5","C250","AS1163","","","","0.20","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE025","Galvanized Pipe Medium 25mm","","","","3.20","33.70","","","3.20","","2.470","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE032","Galvanized Pipe Medium 32mm","","","","3.20","42.40","","","3.20","","3.180","6.5","C250","AS1074","","","","0.25","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE080","Galvanized Pipe Medium 80mm","","","","4.00","88.90","","","4.00","","8.530","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE090","Galvanized Pipe Medium 90mm","","","","4.00","101.60","","","4.00","","9.810","6.5","C250","AS1074","","","","0.61","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE125","Galvanized Pipe Medium 125mm","","","","5.00","139.70","","","5.00","","16.900","6.5","C250","AS1074","","","","0.85","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS025","Galvanized Pipe Screwed 25mm","","","","3.20","33.70","","","3.20","","2.470","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS065","Galvanized Pipe Screwed 65mm","","","","3.60","76.10","","","3.60","","6.560","6.5","C250","AS1074","","","","0.46","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS080","Galvanized Pipe Screwed 80mm","","","","4.00","88.90","","","4.00","","8.530","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE025","Galvanized Pipe Extra Light 25mm","","","","2.00","33.70","","","2.00","","1.620","6.5","C250","AS1163","","","","0.20","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE050","Galvanized Pipe Extra Light 50mm","","","","2.30","60.30","","","2.30","","3.400","6.5","C250","AS1163","","","","0.36","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE080","Galvanized Pipe Extra Light 80mm","","","","2.60","88.90","","","2.60","","5.700","6.5","C250","AS1163","","","","0.54","","","","","","","","","","","true"
"Seamless Line Pipe","LPS025XXS","Seamless Line Pipe 25xXXS","","","","9.09","33.40","","","9.09","","5.400","6","B","API 5L/ASTM A53/A106","","","","0.15","","","","","","","","","","","true"
"Seamless Line Pipe","LPS032160","Seamless Line Pipe 32x160","","","","6.35","42.20","","","6.35","","5.600","6","B","API 5L/ASTM A53/A106","","","","0.23","","","","","","","","","","","true"
"Seamless Line Pipe","LPS040XXS","Seamless Line Pipe 40xXXS","","","","10.15","48.30","","","10.15","","9.500","6","B","API 5L/ASTM A53/A106","","","","0.24","","","","","","","","","","","true"
"Seamless Line Pipe","LPS080160","Seamless Line Pipe 80x160","","","","11.12","88.90","","","11.12","","21.320","6","B","API 5L/ASTM A53/A106","","","","0.49","","","","","","","","","","","true"
"Seamless Line Pipe","LPS090040","Seamless Line Pipe 90x40 STD","","","","5.74","101.60","","","5.74","","13.570","6","B","API 5L/ASTM A53/A106","","","","0.60","","","","","","","","","","","true"
"Seamless Line Pipe","LPS100120","Seamless Line Pipe 100x120","","","","11.10","114.30","","","11.10","","28.300","6","B","API 5L/ASTM A53/A106","","","","0.65","","","","","","","","","","","true"
"Seamless Line Pipe","LPS100XXS","Seamless Line Pipe 100xXXS","","","","17.12","114.30","","","17.12","","41.000","6","B","API 5L/ASTM A53/A106","","","","0.61","","","","","","","","","","","true"
"Seamless Line Pipe","LPS125080","Seamless Line Pipe 125x80 XS","","","","9.53","141.30","","","9.53","","30.940","6","B","API 5L/ASTM A53/A106","","","","0.83","","","","","","","","","","","true"
"Seamless Line Pipe","LPS150080","Seamless Line Pipe 150x80 XS","","","","10.97","168.30","","","10.97","","42.560","6","B","API 5L/ASTM A53/A106","","","","0.99","","","","","","","","","","","true"
"Seamless Line Pipe","LPS200040","Seamless Line Pipe 200x40 STD","","","","8.18","219.10","","","8.18","","42.550","6","B","API 5L/ASTM A53/A106","","","","1.33","","","","","","","","","","","true"
"Seamless Line Pipe","LPS150XXS","Seamless Line Pipe 150xXXS","","","","21.95","168.30","","","21.95","","72.900","6","B","API 5L/ASTM A53/A106","","","","0.92","","","","","","","","","","","true"
"Seamless Line Pipe","LPS250040","Seamless Line Pipe 250x40 STD","","","","9.27","273.10","","","9.27","","60.290","6","B","API 5L/ASTM A53/A106","","","","1.66","","","","","","","","","","","true"
"Seamless Line Pipe","LPS300040","Seamless Line Pipe 300x40","","","","10.31","323.90","","","10.31","","73.780","6","B","API 5L/ASTM A53/A106","","","","1.97","","","","","","","","","","","true"
"ERW Line Pipe","LPW15010","ERW Line Pipe 150x10","","","","5.40","168.30","","","5.40","","21.300","6","B","ASTM API 5L","","","","1.02","","","","","","","","","","","true"
"ERW Line Pipe","LPW15040","ERW Line Pipe 150x40 STD","","","","7.11","168.30","","","7.11","","28.260","6.0;12.0","B","ASTM API 5L","","","","1.01","","","","","","","","","","","true"
"ERW Line Pipe","LPW20040","ERW Line Pipe 200x40 STD","","","","8.17","219.10","","","8.17","","42.490","6.0;12.0","B","ASTM API 5L","","","","1.33","","","","","","","","","","","true"
"ERW Line Pipe","LPW25020","ERW Line Pipe 250x20","","","","6.35","273.10","","","6.35","","41.760","6.0;12.0","B","ASTM API 5L","","","","1.68","","","","","","","","","","","true"
"ERW Line Pipe","LPW250478","ERW Line Pipe 250x4.78","","","","4.78","273.10","","","4.78","","31.620","6.0;12.0","B","ASTM API 5L","","","","1.69","","","","","","","","","","","true"
"ERW Line Pipe","LPW250XS","ERW Line Pipe 250xXS","","","","12.70","273.10","","","12.70","","81.550","6.0;12.0","B","ASTM API 5L","","","","1.64","","","","","","","","","","","true"
"ERW Line Pipe","LPW300XS","ERW Line Pipe 300xXS","","","","12.70","323.90","","","12.70","","97.450","12","B","ASTM API 5L","","","","1.96","","","","","","","","","","","true"
"ERW Line Pipe","LPW350XS","ERW Line Pipe 350xXS","","","","12.70","355.60","","","12.70","","107.390","6.0;12.0","B","ASTM API 5L","","","","2.15","","","","","","","","","","","true"
"ERW Line Pipe","LPW40010","ERW Line Pipe 400x10","","","","6.35","406.40","","","6.35","","62.640","6","B","ASTM API 5L","","","","2.51","","","","","","","","","","","true"
"ERW Line Pipe","LPW500STD","ERW Line Pipe 500xSTD","","","","9.53","508.00","","","9.53","","117.020","6.0;12.0","B","ASTM API 5L","","","","3.13","","","","","","","","","","","true"
"ERW Line Pipe","LPW60020","ERW Line Pipe 600x20 STD","","","","9.53","609.60","","","9.53","","141.120","6.0;12.0","B","ASTM API 5L","","","","3.77","","","","","","","","","","","true"
"ERW Line Pipe","LPW600XS","ERW Line Pipe 600xXS","","","","12.70","609.60","","","12.70","","186.940","12","B","ASTM API 5L","","","","3.75","","","","","","","","","","","true"
"Black Pipe","PBHPE020","Black Pipe Heavy 20mm","","","","3.20","26.90","","","3.20","","1.870","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Black Pipe","PBHPE032","Black Pipe Heavy 32mm","","","","4.00","42.40","","","4.00","","3.800","6.5","C250","AS1074","","","","0.24","","","","","","","","","","","true"
"Black Pipe","PBHPE050","Black Pipe Heavy 50mm","","","","4.50","60.30","","","4.50","","6.190","6.5","C250","AS1074","","","","0.35","","","","","","","","","","","true"
"Black Pipe","PBHPE065","Black Pipe Heavy 65mm","","","","4.50","76.10","","","4.50","","7.930","6.5","C250","AS1074","","","","0.45","","","","","","","","","","","true"
"Black Pipe","PBHPE080","Black Pipe Heavy 80mm","","","","5.00","88.90","","","5.00","","10.300","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Black Pipe","PBHPE090","Black Pipe Heavy 90mm","","","","5.00","101.60","","","5.00","","11.900","6.5","C250","AS1074","","","","0.61","","","","","","","","","","","true"
"Black Pipe","PBHPE150","Black Pipe Heavy 150mm","","","","5.40","165.10","","","5.40","","21.300","6.5","C250","AS1074","","","","1.00","","","","","","","","","","","true"
"Black Pipe","PBMPE100","Black Pipe Medium 100mm","","","","4.50","114.30","","","4.50","","12.200","6.5","C250","AS1074","","","","0.69","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE065","Galvanized Pipe Heavy 65mm","","","","4.50","76.10","","","4.50","","8.070","6.5","C250","AS1074","","","","0.45","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE090","Galvanized Pipe Heavy 90mm","","","","5.00","101.60","","","5.00","","12.100","6.5","C250","AS1074","","","","0.61","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE100","Galvanized Pipe Heavy 100mm","","","","5.40","114.30","","","5.40","","14.700","6.5","C250","AS1074","","","","0.68","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE090","Galvanized Pipe Light 90mm","","","","3.20","101.60","","","3.20","","7.950","6.5","C250","AS1163","","","","0.62","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE150","Galvanized Pipe Light 150mm","","","","3.50","165.10","","","3.50","","14.300","6.5","C250","AS1163","","","","1.02","","","","","","","","","","","true"
"Galvanized Pipe","PGLSW040","Galvanized Pipe Swaged 40mm","","","","2.90","48.30","","","2.90","","3.330","6.5","C250","AS1163","","","","0.29","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE020","Galvanized Pipe Medium 20mm","","","","2.60","26.90","","","2.60","","1.600","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS020","Galvanized Pipe Screwed 20mm","","","","2.60","26.90","","","2.60","","1.600","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Primed Pipe","PPLPE080","Primed Pipe Light 80mm","1200.00","","","3.20","88.90","","","3.20","2400.00","6.760","6.5","C350","AS1163","","","","0.54","","","","","","","","","","","true"
"Primed Pipe","PPMPE015","Primed Pipe Medium 15mm","","","","2.60","21.30","","","2.60","","1.210","6.5","C250","AS1074","","","","0.12","","","","","","","","","","","true"
"Primed Pipe","PPMPE025","Primed Pipe Medium 25mm","","","","3.20","33.70","","","3.20","","2.410","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"Primed Pipe","PPMPE040","Primed Pipe Medium 40mm","","","","3.20","48.30","","","3.20","","3.570","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Primed Pipe","PPMPE100","Primed Pipe Medium 100mm","","","","4.50","114.30","","","4.50","","12.200","6.5","C250","AS1074","","","","0.69","","","","","","","","","","","true"
"Primed Pipe","PPMPE080","Primed Pipe Medium 80mm","","","","4.00","88.90","","","4.00","","8.370","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Primed Pipe","PPLPE050","Primed Pipe Light 50mm","1200.00","","","2.90","60.30","","","2.90","2400.00","4.110","6.5","C350","AS1163","","","","0.36","","","","","","","","","","","true"
"Seamless Line Pipe","LPS015160","Seamless Line Pipe 15x160","","","","4.78","21.30","","","4.78","","1.940","6","B","API 5L/ASTM A53/A106","","","","0.10","","","","","","","","","","","true"
"Seamless Line Pipe","LPS020080","Seamless Line Pipe 20x80 XS","","","","3.91","26.70","","","3.91","","2.200","6","B","API 5L/ASTM A53/A106","","","","0.14","","","","","","","","","","","true"
"Seamless Line Pipe","LPS020XXS","Seamless Line Pipe 20xXXS","","","","7.82","26.70","","","7.82","","3.600","6","B","API 5L/ASTM A53/A106","","","","0.12","","","","","","","","","","","true"
"Seamless Line Pipe","LPS050XXS","Seamless Line Pipe 50xXXS","","","","11.07","60.30","","","11.07","","13.400","6","B","API 5L/ASTM A53/A106","","","","0.31","","","","","","","","","","","true"
"Seamless Line Pipe","LPS080080","Seamless Line Pipe 80x80 XS","","","","7.62","88.90","","","7.62","","15.270","6","B","API 5L/ASTM A53/A106","","","","0.51","","","","","","","","","","","true"
"Seamless Line Pipe","LPS150160","Seamless Line Pipe 150x160","","","","18.26","168.30","","","18.26","","67.500","6","B","API 5L/ASTM A53/A106","","","","0.94","","","","","","","","","","","true"
"ERW Line Pipe","LPW450STD","ERW Line Pipe 450xSTD","","","","9.53","457.20","","","9.53","","105.090","6.0;12.0","B","ASTM API 5L","","","","2.81","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE020","Galvanized Pipe Heavy 20mm","","","","3.20","26.90","","","3.20","","1.920","6.5","C250","AS1074","","","","0.15","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE025","Galvanized Pipe Heavy 25mm","","","","4.00","33.70","","","4.00","","3.000","6.5","C250","AS1074","","","","0.19","","","","","","","","","","","true"
"Galvanized Pipe","PGHPE080","Galvanized Pipe Heavy 80mm","","","","5.00","88.90","","","5.00","","10.500","6.5","C250","AS1074","","","","0.53","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE020","Galvanized Pipe Light 20mm","","","","2.30","26.90","","","2.30","","1.440","6.5","C250","AS1163","","","","0.15","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE015","Galvanized Pipe Light 15mm","","","","2.00","21.30","","","2.00","","1.000","6.5","C250","AS1163","","","","0.12","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE025","Galvanized Pipe Light 25mm","","","","2.60","33.70","","","2.60","","2.050","6.5","C250","AS1163","","","","0.20","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE032","Galvanized Pipe Light 32mm","","","","2.60","42.20","","","2.60","","2.630","6.5","C250","AS1163","","","","0.25","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE080","Galvanized Pipe Light 80mm","","","","3.20","88.90","","","3.20","","6.920","6.5","C250","AS1163","","","","0.54","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE100","Galvanized Pipe Light 100mm","","","","3.60","114.30","","","3.60","","10.000","6.5","C250","AS1163","","","","0.70","","","","","","","","","","","true"
"Galvanized Pipe","PGLPE125","Galvanized Pipe Light 125mm","","","","3.50","137.90","","","3.50","","12.000","6.5","C250","AS1163","","","","0.84","","","","","","","","","","","true"
"Galvanized Pipe","PGLSW050","Galvanized Pipe Swaged 50mm","","","","2.90","60.30","","","2.90","","4.210","6.5","C250","AS1163","","","","0.36","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE065","Galvanized Pipe Medium 65mm","","","","3.60","76.10","","","3.60","","6.560","6.5","C250","AS1074","","","","0.46","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE050","Galvanized Pipe Medium 50mm","","","","3.60","60.30","","","3.60","","5.140","6.5","C250","AS1074","","","","0.36","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE040","Galvanized Pipe Medium 40mm","","","","3.20","48.30","","","3.20","","3.650","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE100","Galvanized Pipe Medium 100mm","","","","4.50","114.30","","","4.50","","12.400","6.5","C250","AS1074","","","","0.69","","","","","","","","","","","true"
"Galvanized Pipe","PGMPE150","Galvanized Pipe Medium 150mm","","","","5.00","165.10","","","5.00","","20.000","6.5","C250","AS1074","","","","1.01","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS015","Galvanized Pipe Screwed 15mm","","","","2.60","21.30","","","2.60","","1.240","6.5","C250","AS1074","","","","0.12","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS032","Galvanized Pipe Screwed 32mm","","","","3.20","42.40","","","3.20","","3.180","6.5","C250","AS1074","","","","0.25","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS040","Galvanized Pipe Screwed 40mm","","","","3.20","48.30","","","3.20","","3.650","6.5","C250","AS1074","","","","0.28","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS050","Galvanized Pipe Screwed 50mm","","","","3.60","60.30","","","3.60","","5.140","6.5","C250","AS1074","","","","0.36","","","","","","","","","","","true"
"Galvanized Pipe","PGMSS150","Galvanized Pipe Screwed 150mm","","","","5.00","165.10","","","5.00","","20.000","6.5","C250","AS1074","","","","1.01","","","","","","","","","","","true"
